match_id,match_type,date,venue,team1,team2,toss_winner,toss_decision,winner,team1_xi,team2_xi
1186493,t20i,2019-06-29,Kinrara Academy Oval,Maldives,Thailand,Thailand,field,Thailand,"Umar Adam,Ahmed Hassan,Mohamed Rishwan,MNR Cooray,Shafraz Jaleel,Hassan Rasheed,WJ Malinda,Ameel Mauroof,Mohamed Mahfooz,Ibrahim Hassan,S Saeed","DF Jacobs,Md Shafiqul Haque,HJ Jordaan,N Pathan,Z Hoque,Anowarul Islam,S Hongsi,C Pengkumta,K Senamontree,Vichanath Singh,M Faheem"
1168521,t20i,2019-07-12,"Bready Cricket Club, Magheramason",Ireland,Zimbabwe,Ireland,field,Ireland,"PR Stirling,KJ O'Brien,A Balbirnie,GC Wilson,MR Adair,GJ Delany,SC Getkate,TE Kane,GJ Thompson,L Tucker,CA Young","BRM Taylor,H Masakadza,CR Ervine,SC Williams,Sikandar Raza,RP Burl,PJ Moor,R Mutumbami,KM Jarvis,CB Mpofu,TL Chatara"
1192223,t20i,2019-07-13,Kinrara Academy Oval,Malaysia,Nepal,Malaysia,bat,Nepal,"Virandeep Singh,Syed Aziz,Fitri Sham,Ahmed Faiz,Shafiq Sharif,Aminuddin Ramly,S Muniandy,M Syahadat Ramli,NCK Liyanage,Anwar Rahman,Pavandeep Singh","PS Airee,P Khadka,G Malla,RK Paudel,S Vesawkar,Karan KC,B Bhandari,Sompal Kami,S Lamichhane,B Regmi,LN Rajbanshi"
1192224,t20i,2019-07-14,Kinrara Academy Oval,Malaysia,Nepal,Nepal,bat,Nepal,"Virandeep Singh,Syed Aziz,Ahmed Faiz,Shafiq Sharif,Anwar Arudin,Aminuddin Ramly,M Syahadat Ramli,S Muniandy,Fitri Sham,Pavandeep Singh,Anwar Rahman","P Khadka,P Sarraf,G Malla,RK Paudel,S Vesawkar,B Bhandari,Karan KC,Sompal Kami,S Lamichhane,A Bohara,LN Rajbanshi"
1168522,t20i,2019-07-14,Bready,Ireland,Zimbabwe,Zimbabwe,field,Zimbabwe,"PR Stirling,KJ O'Brien,GC Wilson,J Little,MR Adair,GJ Delany,SC Getkate,GJ Thompson,L Tucker,CA Young,GH Dockrell","BRM Taylor,H Masakadza,CR Ervine,SC Williams,Sikandar Raza,RP Burl,SF Mire,R Mutumbami,KM Jarvis,CB Mpofu,TL Chatara"
1190768,t20i,2019-07-22,Indian Association Ground,Kuwait,Malaysia,Malaysia,bat,Malaysia,"R Sandaruwan,S Varathappan,Adnan Idrees,Muhammad Kashif,Usman Waheed,Shiraz Khan,Bilal Tahir,MNM Aslam,Mohammad Ahsan,Ilyas Ahmed,Nawaf Ahmed","Virandeep Singh,Anwar Arudin,Syed Aziz,Shafiq Sharif,Ahmed Faiz,Aminuddin Ramly,M Syahadat Ramli,S Muniandy,Fitri Sham,Anwar Rahman,Pavandeep Singh"
1190767,t20i,2019-07-22,Indian Association Ground,Singapore,Qatar,Singapore,bat,Singapore,"R Rohan,S Chandramohan,TH David,Manpreet Singh,CR Suryawanshi,Janak Prakash,A Krishna,AE Paraam,V Baskaran,Amjad Mahboob,S Vijayakumar","Inam-ul-Haq,Faisal Javed,Kamran Khan,Muhammad Tanveer,Tamoor Sajjad,Nouman Sarwar,Mohammad Rizlan,Zaheer Ibrahim,Mohammed Awais,Iqbal Hussain,Mohammed Nadeem"
1190769,t20i,2019-07-23,Indian Association Ground,Nepal,Qatar,Nepal,bat,Qatar,"P Khadka,G Malla,S Vesawkar,DS Airee,Sompal Kami,B Bhandari,Karan KC,S Lamichhane,B Regmi,A Bohara,LN Rajbanshi","Faisal Javed,Inam-ul-Haq,Kamran Khan,Muhammad Tanveer,Zaheer Ibrahim,Tamoor Sajjad,Mohammad Rizlan,Nouman Sarwar,Mohammed Awais,Iqbal Hussain,Mohammed Nadeem"
1190771,t20i,2019-07-24,Indian Association Ground,Malaysia,Nepal,Nepal,field,Nepal,"Anwar Arudin,Shafiq Sharif,Syed Aziz,Aminuddin Ramly,M Syahadat Ramli,Virandeep Singh,Ahmed Faiz,S Muniandy,Fitri Sham,Anwar Rahman,Pavandeep Singh","PS Airee,G Malla,B Bhandari,DS Airee,S Vesawkar,Karan KC,S Lamichhane,B Regmi,A Bohara,Sompal Kami,RK Paudel"
1168026,t20i,2019-07-26,County Ground,England,Australia,England,field,Australia,"DN Wyatt,AE Jones,TT Beaumont,NR Sciver,HC Knight,L Winfield,KH Brunt,A Shrubsole,S Ecclestone,LA Marsh,KL Cross","AJ Healy,BL Mooney,MM Lanning,A Gardner,EA Perry,RL Haynes,S Molineux,JL Jonassen,G Wareham,DM Kimmince,ML Schutt"
1190773,t20i,2019-07-26,Indian Association Ground,Singapore,Malaysia,Malaysia,bat,Singapore,"R Rohan,S Chandramohan,TH David,Manpreet Singh,CR Suryawanshi,Janak Prakash,A Krishna,AE Paraam,V Baskaran,Amjad Mahboob,S Vijayakumar","Virandeep Singh,Anwar Arudin,Syed Aziz,Shafiq Sharif,Ahmed Faiz,M Syahadat Ramli,Aminuddin Ramly,S Muniandy,Fitri Sham,NCK Liyanage,Anwar Rahman"
1190772,t20i,2019-07-26,Indian Association Ground,Kuwait,Qatar,Qatar,field,Kuwait,"R Sandaruwan,Meet Bhavsar,Adnan Idrees,Bilal Tahir,Muhammad Kashif,Usman Waheed,Shiraz Khan,MNM Aslam,Mohammad Ahsan,Ilyas Ahmed,Jandu Hamoud","Faisal Javed,Kamran Khan,Inam-ul-Haq,Muhammad Tanveer,Tamoor Sajjad,Mohammad Rizlan,Nouman Sarwar,Iqbal Hussain,Mohammed Nadeem,Mohammed Awais,Zaheer Ibrahim"
1190774,t20i,2019-07-27,Indian Association Ground,Kuwait,Nepal,Nepal,field,Nepal,"R Sandaruwan,Meet Bhavsar,Adnan Idrees,Bilal Tahir,MNM Aslam,Usman Waheed,Muhammad Kashif,Shiraz Khan,Mohammad Ahsan,Jandu Hamoud,Ilyas Ahmed","P Khadka,G Malla,S Vesawkar,DS Airee,RK Paudel,B Regmi,S Lamichhane,Karan KC,Sompal Kami,B Bhandari,A Bohara"
1190775,t20i,2019-07-27,Indian Association Ground,Malaysia,Qatar,Malaysia,bat,Qatar,"Virandeep Singh,Syed Aziz,Ahmed Faiz,Shafiq Sharif,M Syahadat Ramli,S Muniandy,Aminuddin Ramly,Fitri Sham,NCK Liyanage,Anwar Rahman,Pavandeep Singh","Faisal Javed,Kamran Khan,Muhammad Tanveer,Mohammad Rizlan,Tamoor Sajjad,Nouman Sarwar,Qalandar Khan,Iqbal Hussain,Musawar Shah,Mohammed Nadeem,Gayan Munaweera"
1168027,t20i,2019-07-28,"County Ground, Hove",England,Australia,England,bat,Australia,"AE Jones,DN Wyatt,TT Beaumont,NR Sciver,HC Knight,L Winfield,KH Brunt,GA Elwiss,S Ecclestone,LA Marsh,KL Cross","AJ Healy,BL Mooney,MM Lanning,A Gardner,EA Perry,RL Haynes,S Molineux,JL Jonassen,G Wareham,DM Kimmince,ML Schutt"
1190776,t20i,2019-07-28,Indian Association Ground,Singapore,Nepal,Singapore,bat,Singapore,"R Rohan,S Chandramohan,TH David,Manpreet Singh,CR Suryawanshi,AE Paraam,Janak Prakash,A Krishna,V Baskaran,Amjad Mahboob,S Vijayakumar","P Khadka,G Malla,S Vesawkar,DS Airee,RK Paudel,B Bhandari,Karan KC,Sompal Kami,S Lamichhane,B Regmi,A Bohara"
1168028,t20i,2019-07-31,County Ground,England,Australia,Australia,field,England,"DN Wyatt,TT Beaumont,HC Knight,NR Sciver,AE Jones,L Winfield,KH Brunt,MK Villiers,A Shrubsole,S Ecclestone,KL Cross","AJ Healy,BL Mooney,MM Lanning,EA Perry,A Gardner,RL Haynes,JL Jonassen,DM Kimmince,G Wareham,ML Schutt,TJ Vlaeminck"
1188621,t20i,2019-08-03,Central Broward Regional Park Stadium Turf Ground,India,West Indies,India,field,India,"RG Sharma,S Dhawan,V Kohli,RR Pant,MK Pandey,KH Pandya,RA Jadeja,Washington Sundar,B Kumar,KK Ahmed,Navdeep Saini","JD Campbell,E Lewis,N Pooran,KA Pollard,SO Hetmyer,R Powell,CR Brathwaite,SP Narine,KMA Paul,SS Cottrell,O Thomas"
1188622,t20i,2019-08-04,Central Broward Regional Park Stadium Turf Ground,India,West Indies,India,bat,India,"RG Sharma,S Dhawan,V Kohli,RR Pant,MK Pandey,KH Pandya,RA Jadeja,Washington Sundar,B Kumar,KK Ahmed,Navdeep Saini","SP Narine,E Lewis,N Pooran,R Powell,KA Pollard,SO Hetmyer,CR Brathwaite,K Pierre,KMA Paul,SS Cottrell,O Thomas"
1191006,t20i,2019-08-05,VRA Ground,Netherlands,United Arab Emirates,United Arab Emirates,field,United Arab Emirates,"SJ Myburgh,MP O'Dowd,BN Cooper,Saqib Zulfiqar,PM Seelaar,Sikander Zulfiqar,SA Edwards,TS Braat,PRP Boissevain,BD Glover,VJ Kingma","Ashfaq Ahmed,Rohan Mustafa,Ghulam Shabber,Rameez Shahzad,Muhammad Usman,Mohammad Boota,Waheed Ahmed,Ahmed Raza,Zahoor Khan,Mohammad Naveed,Sultan Ahmed"
1188623,t20i,2019-08-06,"Providence Stadium, Guyana",West Indies,India,India,field,India,"E Lewis,SP Narine,SO Hetmyer,KA Pollard,N Pooran,R Powell,CR Brathwaite,FA Allen,KMA Paul,SS Cottrell,O Thomas","KL Rahul,S Dhawan,V Kohli,RR Pant,MK Pandey,KH Pandya,DL Chahar,Washington Sundar,B Kumar,RD Chahar,Navdeep Saini"
